x,z,K00,K01,K02,K10,K11,K12,K20,K21,K22
-256,235.843,0,0,0,0,0,0,0,0,0
-256,239.874,0,0,0,0,0,0,0,0,0
-256,243.906,0,0,0,0,0,0,0,0,0
-256,247.937,0,0,0,0,0,0,0,0,0
-256,251.969,0,0,0,0,0,0,0,0,0
-256,256,0,0,0,0,0,0,0,0,0
-251.969,-256,0,0,0,0,0,0,0,0,0
-251.969,-251.969,4.85751e-10,5.83451e-14,9.69425e-16,1.88379e-13,-1.58283e-10,5.86232e-14,2.22115e-11,-6.63329e-14,4.85754e-10
-251.969,-247.937,4.58978e-10,3.4244e-14,-1.81441e-14,6.09246e-14,-1.84528e-10,-9.25422e-13,5.39588e-11,-8.98943e-13,4.29727e-10
-251.969,-243.906,3.56939e-10,3.40271e-14,2.3503e-15,1.00097e-13,-2.84096e-10,1.48102e-13,6.93021e-11,1.34894e-13,2.25962e-10
-251.969,-239.874,3.83799e-10,3.37561e-14,3.04719e-15,1.17765e-13,-2.54079e-10,1.90461e-13,8.6699e-11,1.59017e-13,2.80087e-10
-251.969,-235.843,3.80459e-10,3.34327e-14,3.73177e-15,1.37639e-13,-2.53589e-10,2.31949e-13,1.03915e-10,1.7994e-13,2.73909e-10
-251.969,-231.811,3.78735e-10,3.3059e-14,4.40166e-15,1.57003e-13,-2.50831e-10,2.72404e-13,1.20915e-10,2.00218e-13,2.71061e-10
-251.969,-227.78,3.76762e-10,3.26373e-14,5.05457e-15,1.75784e-13,-2.47688e-10,3.11672e-13,1.37666e-10,2.19778e-13,2.67816e-10
-251.969,-223.748,3.74546e-10,3.21702e-14,5.68837e-15,1.93913e-13,-2.44179e-10,3.49608e-13,1.54137e-10,2.38549e-13,2.64191e-10
-251.969,-219.717,3.72096e-10,3.16605e-14,6.30102e-15,2.11328e-13,-2.40321e-10,3.86083e-13,1.70298e-10,2.5647e-13,2.60206e-10
-251.969,-215.685,3.69418e-10,3.11113e-14,6.89071e-15,2.2797e-13,-2.36133e-10,4.20976e-13,1.86119e-10,2.73483e-13,2.55879e-10
