i,j,r,theta,rho
2,24,2.16,0.753982,0
2,25,2.16,0.785398,0
2,26,2.16,0.816814,0
2,27,2.16,0.84823,0
2,28,2.16,0.879646,0
2,29,2.16,0.911062,0
2,30,2.16,0.942478,0
2,31,2.16,0.973894,0
2,32,2.16,1.00531,0
2,33,2.16,1.03673,0
2,34,2.16,1.06814,0
2,35,2.16,1.09956,0
2,36,2.16,1.13097,0
2,37,2.16,1.16239,0
2,38,2.16,1.19381,0
2,39,2.16,1.22522,0
2,40,2.16,1.25664,0
2,41,2.16,1.28805,0
2,42,2.16,1.31947,0
2,43,2.16,1.35088,0
2,44,2.16,1.3823,0
2,45,2.16,1.41372,0
2,46,2.16,1.44513,0
2,47,2.16,1.47655,0
2,48,2.16,1.50796,0
2,49,2.16,1.53938,0
2,50,2.16,1.5708,0
2,51,2.16,1.60221,0
2,52,2.16,1.63363,0
2,53,2.16,1.66504,0
2,54,2.16,1.69646,0
2,55,2.16,1.72788,0
2,56,2.16,1.75929,0
2,57,2.16,1.79071,0
2,58,2.16,1.82212,0
2,59,2.16,1.85354,0
2,60,2.16,1.88496,0
2,61,2.16,1.91637,0
2,62,2.16,1.94779,0
2,63,2.16,1.9792,0
2,64,2.16,2.01062,0
2,65,2.16,2.04204,0
2,66,2.16,2.07345,0
2,67,2.16,2.10487,0
2,68,2.16,2.13628,0
2,69,2.16,2.1677,0
2,70,2.16,2.19911,0
2,71,2.16,2.23053,0
2,72,2.16,2.26195,0
2,73,2.16,2.29336,0
2,74,2.16,2.32478,0
2,75,2.16,2.35619,0
2,76,2.16,2.38761,0
2,77,2.16,2.41903,0
2,78,2.16,2.45044,0
2,79,2.16,2.48186,0
2,80,2.16,2.51327,0
2,81,2.16,2.54469,0
2,82,2.16,2.57611,0
2,83,2.16,2.60752,0
2,84,2.16,2.63894,0
2,85,2.16,2.67035,0
2,86,2.16,2.70177,0
2,87,2.16,2.73319,0
2,88,2.16,2.7646,0
2,89,2.16,2.79602,0
2,90,2.16,2.82743,0
2,91,2.16,2.85885,0
2,92,2.16,2.89027,0
2,93,2.16,2.92168,0
2,94,2.16,2.9531,0
2,95,2.16,2.98451,0
2,96,2.16,3.01593,0
2,97,2.16,3.04734,0
2,98,2.16,3.07876,0
2,99,2.16,3.11018,0
2,100,2.16,3.14159,0
3,0,2.24,0,0
3,1,2.24,0.0314159,0
3,2,2.24,0.0628319,0
3,3,2.24,0.0942478,0
3,4,2.24,0.125664,0
3,5,2.24,0.15708,0
