0.87,0.01,6.50952e-09
0.88,0.01,4.47392e-09
0.89,0.01,3.04428e-09
0.9,0.01,2.05087e-09
0.91,0.01,1.36789e-09
0.92,0.01,9.0327e-10
0.93,0.01,5.9053e-10
0.94,0.01,3.82229e-10
0.95,0.01,2.44942e-10
0.96,0.01,1.55403e-10
0.97,0.01,9.7614e-11
0.98,0.01,6.07047e-11
0.99,0.01,3.73757e-11
1,0.01,2.27831e-11

0,0.02,3.70038e-11
0.01,0.02,6.07047e-11
0.02,0.02,9.85951e-11
0.03,0.02,1.58542e-10
0.04,0.02,2.52402e-10
0.05,0.02,3.97829e-10
0.06,0.02,6.20808e-10
0.07,0.02,9.59125e-10
0.08,0.02,1.46707e-09
0.09,0.02,2.22168e-09
0.1,0.02,3.33098e-09
0.11,0.02,4.94445e-09
0.12,0.02,7.26644e-09
0.13,0.02,1.05726e-08
0.14,0.02,1.523e-08
0.15,0.02,2.17207e-08
0.16,0.02,3.06694e-08
0.17,0.02,4.2874e-08
0.18,0.02,5.93389e-08
0.19,0.02,8.13097e-08
0.2,0.02,1.10307e-07
0.21,0.02,1.48156e-07
0.22,0.02,1.97012e-07
0.23,0.02,2.59373e-07
0.24,0.02,3.38074e-07
0.25,0.02,4.36272e-07
0.26,0.02,5.5739e-07
0.27,0.02,7.05048e-07
0.28,0.02,8.82948e-07
0.29,0.02,1.09473e-06
0.3,0.02,1.34381e-06
0.31,0.02,1.63315e-06
0.32,0.02,1.96504e-06
0.33,0.02,2.34084e-06
0.34,0.02,2.76077e-06
0.35,0.02,3.22364e-06
0.36,0.02,3.72665e-06
0.37,0.02,4.26529e-06
0.38,0.02,4.83321e-06
0.39,0.02,5.42225e-06
0.4,0.02,6.02255e-06
0.41,0.02,6.62275e-06
0.42,0.02,7.2103e-06
0.43,0.02,7.77187e-06
0.44,0.02,8.29382e-06
0.45,0.02,8.76276e-06
0.46,0.02,9.16609e-06
0.47,0.02,9.49258e-06
0.48,0.02,9.73289e-06
0.49,0.02,9.87998e-06
0.5,0.02,9.9295e-06
0.51,0.02,9.87998e-06
0.52,0.02,9.73289e-06
0.53,0.02,9.49258e-06
0.54,0.02,9.16609e-06
0.55,0.02,8.76276e-06
0.56,0.02,8.29382e-06
0.57,0.02,7.77187e-06
0.58,0.02,7.2103e-06
0.59,0.02,6.62275e-06
0.6,0.02,6.02255e-06
0.61,0.02,5.42225e-06
0.62,0.02,4.83321e-06
0.63,0.02,4.26529e-06
0.64,0.02,3.72665e-06
