x,z,Gamma000,Gamma001,Gamma002
-251.969,126.992,0.0084606,-0.00553758,-0.0248969
-251.969,131.024,0.00810876,-0.00542726,-0.024951
-251.969,135.055,0.00775776,-0.00531598,-0.0249673
-251.969,139.087,0.00740852,-0.00520397,-0.0249477
-251.969,143.118,0.00706188,-0.00509146,-0.0248942
-251.969,147.15,0.00671863,-0.00497869,-0.0248088
-251.969,151.181,0.0063795,-0.00486587,-0.0246934
-251.969,155.213,0.00604517,-0.00475321,-0.02455
-251.969,159.244,0.00571625,-0.00464091,-0.0243805
-251.969,163.276,0.0053933,-0.00452915,-0.0241868
-251.969,167.307,0.0050768,-0.00441812,-0.0239708
-251.969,171.339,0.00476721,-0.00430798,-0.0237343
-251.969,175.37,0.00446489,-0.00419887,-0.0234792
-251.969,179.402,0.00417018,-0.00409096,-0.023207
-251.969,183.433,0.00388336,-0.00398435,-0.0229194
-251.969,187.465,0.00360466,-0.00387917,-0.0226181
-251.969,191.496,0.00333426,-0.00377553,-0.0223046
-251.969,195.528,0.00307229,-0.00367352,-0.0219802
-251.969,199.559,0.00281885,-0.00357322,-0.0216464
-251.969,203.591,0.00257401,-0.00347471,-0.0213045
-251.969,207.622,0.00233779,-0.00337804,-0.0209557
-251.969,211.654,0.00211018,-0.00328328,-0.0206012
-251.969,215.685,0.00189114,-0.00319047,-0.020242
-251.969,219.717,0.00168062,-0.00309964,-0.0198792
-251.969,223.748,0.0014785,-0.00301082,-0.0195135
-251.969,227.78,0.00128537,-0.00292411,-0.0191503
-251.969,231.811,0.00109312,-0.00283839,-0.01874
-251.969,235.843,0.000940888,-0.002762,-0.0185323
-251.969,239.874,0.000783401,-0.0026735,-0.0182008
-251.969,243.906,0.000347076,-0.00258606,-0.0166301
-251.969,247.937,0.000797056,-0.00256136,-0.0183375
-251.969,251.969,-0.00135948,-0.00226859,-0.00908576
-247.937,-251.969,-0.00856923,-0.00223155,0.00795201
-247.937,-247.937,-0.00598233,-0.00246913,0.0165862
-247.937,-243.906,-0.00650363,-0.00248317,0.0155738
-247.937,-239.874,-0.00662969,-0.00259089,0.0169949
-247.937,-235.843,-0.0064393,-0.00263536,0.0166343
-247.937,-231.811,-0.006211,-0.00271768,0.0173054
-247.937,-227.78,-0.00601652,-0.0027958,0.0176017
-247.937,-223.748,-0.00579284,-0.0028769,0.017971
-247.937,-219.717,-0.00555164,-0.00295983,0.0183343
-247.937,-215.685,-0.0052911,-0.00304469,0.0186974
-247.937,-211.654,-0.00501049,-0.00313146,0.0190593
-247.937,-207.622,-0.00470904,-0.00322014,0.0194192
-247.937,-203.591,-0.004386,-0.0033107,0.019776
-247.937,-199.559,-0.00404064,-0.00340312,0.0201289
-247.937,-195.528,-0.00367225,-0.00349736,0.0204766
-247.937,-191.496,-0.00328013,-0.00359338,0.020818
-247.937,-187.465,-0.00286366,-0.00369113,0.0211518
-247.937,-183.433,-0.00242221,-0.00379056,0.0214768
-247.937,-179.402,-0.00195524,-0.0038916,0.0217914
-247.937,-175.37,-0.00146225,-0.00399418,0.0220942
-247.937,-171.339,-0.000942821,-0.00409821,0.0223835
-247.937,-167.307,-0.000396615,-0.0042036,0.0226577
-247.937,-163.276,0.000176623,-0.00431026,0.0229151
-247.937,-159.244,0.00077704,-0.00441806,0.0231538
-247.937,-155.213,0.00140467,-0.0045269,0.0233719
-247.937,-151.181,0.00205943,-0.00463664,0.0235675
-247.937,-147.15,0.00274109,-0.00474714,0.0237384
-247.937,-143.118,0.00344926,-0.00485825,0.0238826
-247.937,-139.087,0.00418342,-0.00496981,0.0239979
-247.937,-135.055,0.00494285,-0.00508165,0.0240822
-247.937,-131.024,0.00572666,-0.00519359,0.0241332
-247.937,-126.992,0.00653374,-0.00530544,0.0241488
-247.937,-122.961,0.0073628,-0.00541702,0.0241267
-247.937,-118.929,0.00821233,-0.00552811,0.0240648
-247.937,-114.898,0.00908059,-0.00563851,0.0239607
-247.937,-110.866,0.00996562,-0.005748,0.0238126
-247.937,-106.835,0.0108652,-0.00585635,0.0236183
-247.937,-102.803,0.0117769,-0.00596334,0.0233759
-247.937,-98.7717,0.0126981,-0.00606874,0.0230836
-247.937,-94.7402,0.0136259,-0.00617231,0.0227397
-247.937,-90.7087,0.014557,-0.00627383,0.0223429
-247.937,-86.6772,0.0154883,-0.00637305,0.0218917
-247.937,-82.6457,0.0164162,-0.00646974,0.0213852
-247.937,-78.6142,0.0173369,-0.00656367,0.0208226
-247.937,-74.5827,0.0182465,-0.00665461,0.0202033
-247.937,-70.5512,0.0191411,-0.00674233,0.019527
-247.937,-66.5197,0.0200164,-0.00682662,0.018794
-247.937,-62.4882,0.0208683,-0.00690727,0.0180046
-247.937,-58.4567,0.0216924,-0.00698406,0.0171595
-247.937,-54.4252,0.0224845,-0.0070568,0.01626
-247.937,-50.3937,0.0232403,-0.00712531,0.0153075
-247.937,-46.3622,0.0239556,-0.00718941,0.0143039
-247.937,-42.3307,0.0246263,-0.00724893,0.0132516
-247.937,-38.2992,0.0252485,-0.00730372,0.0121532
-247.937,-34.2677,0.0258185,-0.00735363,0.0110117
-247.937,-30.2362,0.0263327,-0.00739855,0.00983046
-247.937,-26.2047,0.026788,-0.00743834,0.00861324
-247.937,-22.1732,0.0271815,-0.00747291,0.00736406
-247.937,-18.1417,0.0275107,-0.00750216,0.0060872
-247.937,-14.1102,0.0277734,-0.00752603,0.00478722
-247.937,-10.0787,0.0279679,-0.00754444,0.00346887
