x,z,T_00,T_01,T_02,T_10,T_11,T_12,T_20,T_21,T_22
24,119,3.7129e-05,1.87364e-06,-4.04755e-06,1.87364e-06,3.26392e-05,3.30989e-06,-4.04755e-06,3.30989e-06,4.18528e-05
24,120,2.95791e-05,1.49754e-06,-3.17315e-06,1.49754e-06,2.61074e-05,2.6071e-06,-3.17315e-06,2.6071e-06,3.34864e-05
24,121,2.3475e-05,1.19168e-06,-2.47725e-06,1.19168e-06,2.08007e-05,2.04563e-06,-2.47725e-06,2.04563e-06,2.66846e-05
24,122,1.856e-05,9.44145e-07,-1.92611e-06,9.44145e-07,1.65075e-05,1.59895e-06,-1.92611e-06,1.59895e-06,2.1178e-05
24,123,1.46181e-05,7.44907e-07,-1.49133e-06,7.44907e-07,1.30489e-05,1.24434e-06,-1.49133e-06,1.24434e-06,1.67424e-05
24,124,1.14688e-05,5.85072e-07,-1.14887e-06,5.85072e-07,1.02743e-05,9.65453e-07,-1.14887e-06,9.65453e-07,1.31838e-05
24,125,8.96548e-06,4.57299e-07,-8.82958e-07,4.57299e-07,8.05786e-06,7.46794e-07,-8.82958e-07,7.46794e-07,1.03348e-05
24,126,6.98172e-06,3.56158e-07,-6.75713e-07,3.56158e-07,6.29468e-06,5.74403e-07,-6.75713e-07,5.74403e-07,8.07139e-06
24,127,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
25,1,8.10382e-06,3.95831e-07,1.78791e-06,3.95831e-07,7.32637e-06,3.32965e-07,1.78791e-06,3.32965e-07,9.44652e-06
25,2,1.04058e-05,5.08628e-07,2.3239e-06,5.08628e-07,9.3782e-06,4.29482e-07,2.3239e-06,4.29482e-07,1.20946e-05
25,3,1.33119e-05,6.50919e-07,3.01264e-06,6.50919e-07,1.19578e-05,5.51879e-07,3.01264e-06,5.51879e-07,1.54294e-05
25,4,1.69659e-05,8.2792e-07,3.88784e-06,8.2792e-07,1.51868e-05,6.9934e-07,3.88784e-06,6.9934e-07,1.95993e-05
25,5,2.15395e-05,1.0494e-06,4.99518e-06,1.0494e-06,1.92118e-05,8.87153e-07,4.99518e-06,8.87153e-07,2.47934e-05
25,6,2.72428e-05,1.32421e-06,6.39546e-06,1.32421e-06,2.42079e-05,1.12045e-06,6.39546e-06,1.12045e-06,3.1244e-05
25,7,3.43254e-05,1.66368e-06,8.15485e-06,1.66368e-06,3.03835e-05,1.40945e-06,8.15485e-06,1.40945e-06,3.92127e-05
25,8,4.30855e-05,2.08094e-06,1.0357e-05,2.08094e-06,3.79847e-05,1.76576e-06,1.0357e-05,1.76576e-06,4.90158e-05
25,9,5.38768e-05,2.59125e-06,1.31014e-05,2.59125e-06,4.73011e-05,2.20315e-06,1.31014e-05,2.20315e-06,6.10228e-05
25,10,6.71168e-05,3.21221e-06,1.65068e-05,3.21221e-06,5.86713e-05,2.73771e-06,1.65068e-05,2.73771e-06,7.56646e-05
25,11,8.32958e-05,3.96391e-06,2.07139e-05,3.96391e-06,7.24894e-05,3.38818e-06,2.07139e-05,3.38818e-06,9.34409e-05
25,12,0.000102986,4.86913e-06,2.58889e-05,4.86913e-06,8.92111e-05,4.17625e-06,2.58889e-05,4.17625e-06,0.000114927
25,13,0.000126855,5.9534e-06,3.22263e-05,5.9534e-06,0.00010936,5.12687e-06,3.22263e-05,5.12687e-06,0.000140782
25,14,0.00015567,7.24507e-06,3.99527e-05,7.24507e-06,0.000133536,6.26861e-06,3.99527e-05,6.26861e-06,0.000171755
25,15,0.000190318,8.77525e-06,4.93305e-05,8.77525e-06,0.00016242,7.63401e-06,4.93305e-05,7.63401e-06,0.000208692
25,16,0.000231813,1.05777e-05,6.0661e-05,1.05777e-05,0.000196781,9.2599e-06,6.0661e-05,9.2599e-06,0.000252544
25,17,0.000281306,1.26883e-05,7.42886e-05,1.26883e-05,0.000237483,1.11878e-05,7.42886e-05,1.11878e-05,0.000304369
25,18,0.000340103,1.51452e-05,9.06036e-05,1.51452e-05,0.000285489,1.34643e-05,9.06036e-05,1.34643e-05,0.000365337
25,19,0.00040967,1.79872e-05,0.000110045,1.79872e-05,0.000341867,1.61413e-05,0.000110045,1.61413e-05,0.000436733
25,20,0.000491651,2.12537e-05,0.000133103,2.12537e-05,0.000407791,1.92766e-05,0.000133103,1.92766e-05,0.000519954
25,21,0.000587872,2.49833e-05,0.000160321,2.49833e-05,0.000484548,2.29341e-05,0.000160321,2.29341e-05,0.000616508
25,22,0.00070035,2.92121e-05,0.000192293,2.92121e-05,0.000573529,2.71841e-05,0.000192293,2.71841e-05,0.000728009
25,23,0.000831302,3.39723e-05,0.000229667,3.39723e-05,0.000676237,3.21043e-05,0.000229667,3.21043e-05,0.000856164
25,24,0.000983148,3.92899e-05,0.000273138,3.92899e-05,0.000794274,3.77795e-05,0.000273138,3.77795e-05,0.00100276
25,25,0.00115851,4.51825e-05,0.000323445,4.51825e-05,0.00092934,4.43027e-05,0.000323445,4.43027e-05,0.00116966
25,26,0.0013602,5.16564e-05,0.000381363,5.16564e-05,0.00108322,5.17754e-05,0.000381363,5.17754e-05,0.00135874
25,27,0.00159124,5.87037e-05,0.000447694,5.87037e-05,0.00125775,6.03085e-05,0.000447694,6.03085e-05,0.00157193
25,28,0.0018548,6.6299e-05,0.000523251,6.6299e-05,0.00145486,7.00233e-05,0.000523251,7.00233e-05,0.00181111
25,29,0.00215422,7.43961e-05,0.000608843,7.43961e-05,0.00167647,8.10521e-05,0.000608843,8.10521e-05,0.00207813
25,30,0.00249298,8.29241e-05,0.000705254,8.29241e-05,0.00192452,9.35396e-05,0.000705254,9.35396e-05,0.00237472
25,31,0.00287463,9.17843e-05,0.000813218,9.17843e-05,0.00220093,0.000107644,0.000813218,0.000107644,0.00270249
25,32,0.00330279,0.000100846,0.00093339,0.000100846,0.00250754,0.00012354,0.00093339,0.00012354,0.00306285
25,33,0.00378104,0.000109946,0.00106632,0.000109946,0.0028461,0.000141416,0.00106632,0.000141416,0.00345698
25,34,0.00431293,0.000118882,0.00121239,0.000118882,0.00321823,0.000161482,0.00121239,0.000161482,0.00388576
25,35,0.00490183,0.000127414,0.00137183,0.000127414,0.00362534,0.000183968,0.00137183,0.000183968,0.00434972
25,36,0.0055509,0.000135264,0.0015446,0.000135264,0.00406861,0.000209122,0.0015446,0.000209122,0.00484898
25,37,0.00626296,0.000142116,0.00173042,0.000142116,0.00454891,0.00023722,0.00173042,0.00023722,0.00538324
25,38,0.00704038,0.000147618,0.00192866,0.000147618,0.00506677,0.000268558,0.00192866,0.000268558,0.00595166
25,39,0.00788498,0.000151388,0.00213837,0.000151388,0.0056223,0.000303456,0.00213837,0.000303456,0.0065529
25,40,0.0087979,0.000153023,0.00235815,0.000153023,0.00621516,0.000342257,0.00235815,0.000342257,0.00718504
25,41,0.00977942,0.000152102,0.0025862,0.000152102,0.00684447,0.000385324,0.0025862,0.000385324,0.00784557
25,42,0.0108289,0.000148206,0.00282026,0.000148206,0.00750877,0.000433034,0.00282026,0.000433034,0.0085314
25,43,0.0119446,0.000140929,0.00305759,0.000140929,0.00820599,0.000485773,0.00305759,0.000485773,0.00923884
25,44,0.0131234,0.000129897,0.00329496,0.000129897,0.00893338,0.000543926,0.00329496,0.000543926,0.00996366
25,45,0.0143611,0.000114787,0.00352873,0.000114787,0.0096875,0.000607864,0.00352873,0.000607864,0.0107011
25,46,0.0156517,9.53506e-05,0.00375482,9.53506e-05,0.0104642,0.000677932,0.00375482,0.000677932,0.011446
25,47,0.0169879,7.1434e-05,0.00396881,7.1434e-05,0.0112585,0.000754424,0.00396881,0.000754424,0.0121926
25,48,0.0183606,4.30027e-05,0.00416603,4.30027e-05,0.0120649,0.000837566,0.00416603,0.000837566,0.0129352
25,49,0.0197593,1.01607e-05,0.00434163,1.01607e-05,0.012877,0.00092749,0.00434163,0.00092749,0.0136675
25,50,0.0211716,-2.68312e-05,0.00449079,-2.68312e-05,0.013688,0.00102421,0.00449079,0.00102421,0.0143834
25,51,0.022584,-6.75429e-05,0.00460879,-6.75429e-05,0.0144903,0.00112758,0.00460879,0.00112758,0.0150768
25,52,0.0239814,-0.000111369,0.00469123,-0.000111369,0.015276,0.00123729,0.00469123,0.00123729,0.0157415
25,53,0.0253476,-0.000157531,0.00473422,-0.000157531,0.0160368,0.00135283,0.00473422,0.00135283,0.0163719
25,54,0.0266656,-0.000205087,0.00473452,-0.000205087,0.0167641,0.00147345,0.00473452,0.00147345,0.0169623
25,55,0.0279179,-0.000252957,0.00468972,-0.000252957,0.0174493,0.00159818,0.00468972,0.00159818,0.0175079
25,56,0.0290869,-0.00029995,0.00459842,-0.00029995,0.0180841,0.00172579,0.00459842,0.00172579,0.018004
25,57,0.0301551,-0.000344809,0.00446033,-0.000344809,0.0186602,0.00185482,0.00446033,0.00185482,0.0184465
25,58,0.0311062,-0.000386256,0.00427634,-0.000386256,0.01917,0.00198357,0.00427634,0.00198357,0.0188321
25,59,0.0319247,-0.000423051,0.0040486,-0.000423051,0.0196065,0.00211016,0.0040486,0.00211016,0.0191577
25,60,0.0325972,-0.000454047,0.00378044,-0.000454047,0.0199636,0.00223256,0.00378044,0.00223256,0.0194209
25,61,0.0331121,-0.000478244,0.00347635,-0.000478244,0.0202361,0.00234861,0.00347635,0.00234861,0.0196199
25,62,0.0334605,-0.000494844,0.00314182,-0.000494844,0.02042,0.00245617,0.00314182,0.00245617,0.0197534
25,63,0.0336362,-0.000503289,0.00278316,-0.000503289,0.0205126,0.00255309,0.00278316,0.00255309,0.0198203
25,64,0.0336362,-0.00050329,0.00240731,-0.00050329,0.0205126,0.00263737,0.00240731,0.00263737,0.0198203
25,65,0.0334605,-0.00049485,0.00202157,-0.00049485,0.02042,0.0027072,0.00202157,0.0027072,0.0197533
25,66,0.0331121,-0.000478253,0.00163333,-0.000478253,0.0202361,0.00276105,0.00163333,0.00276105,0.0196199
25,67,0.0325971,-0.000454059,0.00124982,-0.000454059,0.0199636,0.00279769,0.00124982,0.00279769,0.0194209
25,68,0.0319247,-0.000423067,0.000877882,-0.000423067,0.0196065,0.0028163,0.000877882,0.0028163,0.0191576
25,69,0.0311061,-0.000386275,0.00052371,-0.000386275,0.01917,0.00281646,0.00052371,0.00281646,0.018832
25,70,0.0301551,-0.00034483,0.000192695,-0.00034483,0.0186602,0.00279819,0.000192695,0.00279819,0.0184465
25,71,0.0290868,-0.000299974,-0.000110712,-0.000299974,0.0180841,0.0027619,-0.000110712,0.0027619,0.0180039
25,72,0.0279178,-0.000252983,-0.000383094,-0.000252983,0.0174493,0.00270843,-0.000383094,0.00270843,0.0175079
25,73,0.0266655,-0.000205114,-0.000622093,-0.000205114,0.0167641,0.00263896,-0.000622093,0.00263896,0.0169623
25,74,0.0253475,-0.000157558,-0.000826401,-0.000157558,0.0160368,0.00255498,-0.000826401,0.00255498,0.0163718
25,75,0.0239813,-0.000111397,-0.000995703,-0.000111397,0.015276,0.00245823,-0.000995703,0.00245823,0.0157415
25,76,0.022584,-6.75708e-05,-0.00113059,-6.75708e-05,0.0144903,0.00235061,-0.00113059,0.00235061,0.0150767
25,77,0.0211716,-2.68587e-05,-0.00123242,-2.68587e-05,0.013688,0.00223415,-0.00123242,0.00223415,0.0143834
25,78,0.0197592,1.0134e-05,-0.00130323,1.0134e-05,0.012877,0.00211091,-0.00130323,0.00211091,0.0136675
25,79,0.0183605,4.29771e-05,-0.00134555,4.29771e-05,0.0120649,0.00198291,-0.00134555,0.00198291,0.0129351
25,80,0.0169878,7.14099e-05,-0.00136228,7.14099e-05,0.0112585,0.00185211,-0.00136228,0.00185211,0.0121926
25,81,0.0156516,9.5328e-05,-0.00135653,9.5328e-05,0.0104642,0.00172036,-0.00135653,0.00172036,0.0114459
25,82,0.014361,0.000114766,-0.00133155,0.000114766,0.0096875,0.00158932,-0.00133155,0.00158932,0.0107011
25,83,0.0131234,0.000129878,-0.00129055,0.000129878,0.00893338,0.00146049,-0.00129055,0.00146049,0.00996365
25,84,0.0119445,0.000140912,-0.00123666,0.000140912,0.00820599,0.00133516,-0.00123666,0.00133516,0.00923883
25,85,0.0108289,0.00014819,-0.00117282,0.00014819,0.00750877,0.00121441,-0.00117282,0.00121441,0.00853139
