x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-163.276,175.37,5.53994,-9.39014e-08,-1.62519e-05,1.30413e-07,5.53992,3.02059e-08,3.26351e-06,3.02055e-08,5.53994
-163.276,179.402,5.44621,-8.86241e-08,-1.65606e-05,1.36206e-07,5.44619,2.29534e-08,3.4493e-06,2.2953e-08,5.4462
-163.276,183.433,5.35498,-8.38977e-08,-1.68571e-05,1.41272e-07,5.35496,1.62854e-08,3.63339e-06,1.62851e-08,5.35497
-163.276,187.465,5.26621,-7.96868e-08,-1.71412e-05,1.45654e-07,5.26619,1.01804e-08,3.81547e-06,1.01801e-08,5.26621
-163.276,191.496,5.17987,-7.59555e-08,-1.74128e-05,1.49392e-07,5.17985,4.61451e-09,3.99527e-06,4.61425e-09,5.17987
-163.276,195.528,5.0959,-7.26677e-08,-1.76719e-05,1.52532e-07,5.09588,-4.37801e-10,4.17252e-06,-4.38031e-10,5.0959
-163.276,199.559,5.01424,-6.97877e-08,-1.79183e-05,1.55114e-07,5.01422,-5.0032e-09,4.34697e-06,-5.00341e-09,5.01424
-163.276,203.591,4.93485,-6.72809e-08,-1.81523e-05,1.57181e-07,4.93484,-9.10903e-09,4.5184e-06,-9.10921e-09,4.93485
-163.276,207.622,4.85768,-6.51137e-08,-1.83738e-05,1.58773e-07,4.85766,-1.27829e-08,4.6866e-06,-1.2783e-08,4.85768
-163.276,211.654,4.78265,-6.32541e-08,-1.8583e-05,1.5993e-07,4.78264,-1.60523e-08,4.85137e-06,-1.60525e-08,4.78266
-163.276,215.685,4.70973,-6.16716e-08,-1.87801e-05,1.6069e-07,4.70971,-1.89446e-08,5.01254e-06,-1.89447e-08,4.70973
-163.276,219.717,4.63885,-6.03377e-08,-1.89653e-05,1.61086e-07,4.63883,-2.14862e-08,5.16994e-06,-2.14863e-08,4.63885
-163.276,223.748,4.56995,-5.92254e-08,-1.91388e-05,1.61154e-07,4.56994,-2.3703e-08,5.32345e-06,-2.37031e-08,4.56996
-163.276,227.78,4.50298,-5.83098e-08,-1.93007e-05,1.60926e-07,4.50297,-2.56205e-08,5.47292e-06,-2.56206e-08,4.50299
-163.276,231.811,4.43789,-5.75744e-08,-1.67374e-05,1.60423e-07,4.43788,2.68715e-06,8.3327e-06,2.68715e-06,4.4379
-163.276,235.843,4.37461,-5.03802e-08,-5.82215e-05,1.66292e-07,4.3746,-3.86826e-05,-3.28767e-05,-3.86826e-05,4.37446
-163.276,239.874,4.3131,-1.98376e-07,5.99363e-05,1.688e-08,4.31309,9.50947e-05,8.55814e-05,9.50945e-05,4.31354
-163.276,243.906,4.25327,4.48468e-07,0.000301928,6.6232e-07,4.25325,0.000301306,0.000327786,0.000301306,4.25442
-163.276,247.937,4.19522,1.89475e-06,-0.000159123,2.10683e-06,4.1952,-0.00018415,-0.00011507,-0.000184347,4.19437
-163.276,251.969,4.13878,1.18641e-06,-0.000283593,1.3967e-06,4.13877,-0.000257213,-0.000270106,-0.000257215,4.13794
-163.276,256,4.13861,0,0,0,4.13861,0,0,0,4.13861
-159.244,-256,4.1748,0,0,0,4.1748,0,0,0,4.1748
