t,i,j,r,theta,dK_00,dK_01,dK_02,dK_10,dK_11,dK_12,dK_20,dK_21,dK_22
0,6,2,7.33333,0.698132,0.00625926,-0.000971972,0,-0.000971972,0.000851407,0,0,0,0
0,6,3,7.33333,1.0472,0.00646602,-0.000867577,0,-0.000867577,-0.00224136,0,0,0,0
0,6,4,7.33333,1.39626,0.00660419,-0.000345983,0,-0.000345983,-0.0043255,0,0,0,0
0,6,5,7.33333,1.74533,0.00660419,0.000345983,0,0.000345983,-0.0043255,0,0,0,0
0,6,6,7.33333,2.0944,0.00646602,0.000867577,0,0.000867577,-0.00224136,0,0,0,0
0,6,7,7.33333,2.44346,0.00625926,0.000971972,0,0.000971972,0.000851407,0,0,0,0
0,6,8,7.33333,2.79253,0.00608224,0.000626146,0,0.000626146,0.00347335,0,0,0,0
0,6,9,7.33333,3.14159,0,0,0,0,0,0,0,0,0
0,7,0,8.22222,0,0,0,0,0,0,0,0,0,0
0,7,1,8.22222,0.349066,0.00423767,-0.000384274,0,-0.000384274,0.00242596,0,0,0,0
0,7,2,8.22222,0.698132,0.00433426,-0.000594768,0,-0.000594768,0.000585139,0,0,0,0
0,7,3,8.22222,1.0472,0.00444641,-0.000529122,0,-0.000529122,-0.00156935,0,0,0,0
0,7,4,8.22222,1.39626,0.00452097,-0.000210551,0,-0.000210551,-0.00301142,0,0,0,0
0,7,5,8.22222,1.74533,0.00452097,0.000210551,0,0.000210551,-0.00301142,0,0,0,0
0,7,6,8.22222,2.0944,0.00444641,0.000529122,0,0.000529122,-0.00156935,0,0,0,0
0,7,7,8.22222,2.44346,0.00433426,0.000594768,0,0.000594768,0.000585139,0,0,0,0
0,7,8,8.22222,2.79253,0.00423767,0.000384274,0,0.000384274,0.00242596,0,0,0,0
0,7,9,8.22222,3.14159,0,0,0,0,0,0,0,0,0
0,8,0,9.11111,0,0,0,0,0,0,0,0,0,0
0,8,1,9.11111,0.349066,0.00306887,-0.000248965,0,-0.000248965,0.00176088,0,0,0,0
0,8,2,9.11111,0.698132,0.0031252,-0.000384558,0,-0.000384558,0.000419809,0,0,0,0
0,8,3,9.11111,1.0472,0.00319033,-0.000341323,0,-0.000341323,-0.00114109,0,0,0,0
0,8,4,9.11111,1.39626,0.00323348,-0.000135616,0,-0.000135616,-0.00218084,0,0,0,0
0,8,5,9.11111,1.74533,0.00323348,0.000135616,0,0.000135616,-0.00218084,0,0,0,0
0,8,6,9.11111,2.0944,0.00319033,0.000341323,0,0.000341323,-0.00114109,0,0,0,0
0,8,7,9.11111,2.44346,0.0031252,0.000384558,0,0.000384558,0.000419809,0,0,0,0
0,8,8,9.11111,2.79253,0.00306887,0.000248965,0,0.000248965,0.00176088,0,0,0,0
